,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
13167,201814782,ted.europa.eu/udl?uri=TED:NOTICE:14782-2018:TEXT:EN:HTML,"Gerencia de Atención Sanitaria de Ceuta, Instituto Nacional de Gestión Sanitaria. Hospital Universitario",Ceuta,51003,1,Not specified,U,33140000.0,,12.0,
13168,201814783,ted.europa.eu/udl?uri=TED:NOTICE:14783-2018:TEXT:EN:HTML,Ayuntamiento de Marbella,Marbella,29601,3,General public\services,U,16160000.0,560330.58,2.0,ES617
13169,201814784,ted.europa.eu/udl?uri=TED:NOTICE:14784-2018:TEXT:EN:HTML,Parlamento de Andalucía,Sevilla,41009,8,Other,U,9310000.0,1334804.4,24.0,ES618
13173,201814903,ted.europa.eu/udl?uri=TED:NOTICE:14903-2018:TEXT:EN:HTML,Secretaría General de Instituciones Penitenciarias,Madrid,28014,1,General public\services,S,50700000.0,2124500.0,24.0,ES
13174,201814904,ted.europa.eu/udl?uri=TED:NOTICE:14904-2018:TEXT:EN:HTML,Secretaría General de Instituciones Penitenciarias,Madrid,28014,1,General public\services,S,50700000.0,1120600.0,24.0,ES
13176,201814906,ted.europa.eu/udl?uri=TED:NOTICE:14906-2018:TEXT:EN:HTML,Secretaría General de Instituciones Penitenciarias,Madrid,28014,1,General public\services,S,50700000.0,1571620.0,24.0,ES
13186,201814916,ted.europa.eu/udl?uri=TED:NOTICE:14916-2018:TEXT:EN:HTML,Ayuntamiento de A Coruña,A Coruña,15001,R,General public\services,S,71245000.0,,,ES111
13188,201814918,ted.europa.eu/udl?uri=TED:NOTICE:14918-2018:TEXT:EN:HTML,Banco de España,Madrid,28014,8,Other,S,50700000.0,760000.0,24.0,ES511
13191,201814921,ted.europa.eu/udl?uri=TED:NOTICE:14921-2018:TEXT:EN:HTML,Banco de España,Madrid,28014,8,Other,S,90911200.0,5976000.0,48.0,ES300
13200,201815015,ted.europa.eu/udl?uri=TED:NOTICE:15015-2018:TEXT:EN:HTML,"Canal de Isabel II, S.A.",Madrid,28003,4,Water,U,32200000.0,,48.0,ES3
13897,201815451,ted.europa.eu/udl?uri=TED:NOTICE:15451-2018:TEXT:EN:HTML,"Servicio Madrileño de Salud, Subdirección General - Contratación y Compras de Medicamentos y Productos Sanitarios",Madrid,28020,3,Health,U,33124131.0,57623186.04,,ES30
13924,201815468,ted.europa.eu/udl?uri=TED:NOTICE:15468-2018:TEXT:EN:HTML,Conselleria de Sanidad Universal y Salud Pública,Valencia,46017,R,Health,U,33113000.0,909090.91,,ES523
14168,201815505,ted.europa.eu/udl?uri=TED:NOTICE:15505-2018:TEXT:EN:HTML,"Consejería de Economía, Hacienda, Administración Pública y Empleo de la ciudad autónoma de Ceuta",Ceuta,51001,3,Economical anf Financial Affairs,U,32000000.0,2272700.0,,ES63
14170,201815507,ted.europa.eu/udl?uri=TED:NOTICE:15507-2018:TEXT:EN:HTML,Ayuntamiento de Montellano,Montellano,41770,3,General public\services,U,71314200.0,4554023.04,,ES618
14579,201815948,ted.europa.eu/udl?uri=TED:NOTICE:15948-2018:TEXT:EN:HTML,Fábrica Nacional de Moneda y Timbre — Real Casa de la Moneda,Madrid,28071,6,Economical anf Financial Affairs,S,72000000.0,400000.0,,ES300
14581,201815950,ted.europa.eu/udl?uri=TED:NOTICE:15950-2018:TEXT:EN:HTML,"Consejería de Medio Ambiente y Rural, Políticas Agrarias y Territorio",Mérida,06800,3,General public\services,S,71410000.0,462810.0,,ES431
14657,201815992,ted.europa.eu/udl?uri=TED:NOTICE:15992-2018:TEXT:EN:HTML,Subdirección General de Servicios Penitenciarios,Madrid,28014,1,General public\services,S,50700000.0,1046380.0,,ES
14664,201815996,ted.europa.eu/udl?uri=TED:NOTICE:15996-2018:TEXT:EN:HTML,Consejería de Hacienda y Administración Pública,Sevilla,41071,3,Economical anf Financial Affairs,S,72600000.0,557080.13,,ES618
14665,201815997,ted.europa.eu/udl?uri=TED:NOTICE:15997-2018:TEXT:EN:HTML,Consellería del Mar de la Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,79341000.0,620000.0,,ES11
14687,201816009,ted.europa.eu/udl?uri=TED:NOTICE:16009-2018:TEXT:EN:HTML,"Diputación Foral de Gipuzkoa - Departamento de Cultura, Turismo Juventud y Deportes",Donostia-San Sebastián,20006,3,General public\services,S,71242000.0,410000.0,,ES212
14694,201816012,ted.europa.eu/udl?uri=TED:NOTICE:16012-2018:TEXT:EN:HTML,Ayuntamiento de Salamanca,Salamanca,37002,R,General public\services,S,50232100.0,10076456.23,,ES415
14702,201816017,ted.europa.eu/udl?uri=TED:NOTICE:16017-2018:TEXT:EN:HTML,"Departamento de Salud de Elda, Dirección Económica-Gerencia",Elda,03600,3,Health,S,72252000.0,1897728.81,,ES521
14708,201816020,ted.europa.eu/udl?uri=TED:NOTICE:16020-2018:TEXT:EN:HTML,Ayuntamiento de Madrid. Distrito de Puente de Vallecas,Madrid,28053,R,General public\services,S,85320000.0,956361.56,,ES300
14795,201816071,ted.europa.eu/udl?uri=TED:NOTICE:16071-2018:TEXT:EN:HTML,Ayuntamiento de Castellbell i el Vilar,Castellbell i el Vilar,08296,3,General public\services,S,90911200.0,480854.4,,ES51
14800,201816076,ted.europa.eu/udl?uri=TED:NOTICE:16076-2018:TEXT:EN:HTML,"Comunidad de Madrid-Consejería Transportes, Vivienda e Infraestructuras",Madrid,28003,3,General public\services,S,45221119.0,24000000.0,,ES3
15015,201816129,ted.europa.eu/udl?uri=TED:NOTICE:16129-2018:TEXT:EN:HTML,Ilustre Ayuntamiento de la Villa de Ingenio,Ingenio,35250,3,General public\services,S,50000000.0,516118.14,,ES705
15021,201816132,ted.europa.eu/udl?uri=TED:NOTICE:16132-2018:TEXT:EN:HTML,Jefatura de Administración Económica del Cuarto Militar de S. M. el Rey y Guardia Real,El Pardo (Madrid),28048,1,Defence,S,90910000.0,85672.07,,ES300
15025,201816135,ted.europa.eu/udl?uri=TED:NOTICE:16135-2018:TEXT:EN:HTML,Ayuntamiento de Madrid. Distrito de Puente de Vallecas,Madrid,28053,R,General public\services,S,85320000.0,1778492.8,,ES300
15035,201816138,ted.europa.eu/udl?uri=TED:NOTICE:16138-2018:TEXT:EN:HTML,Agència de l&apos;Habitatge de Catalunya,Barcelona,08015,6,Housing and community amenities,S,30120000.0,575792.0,,ES51
15036,201816139,ted.europa.eu/udl?uri=TED:NOTICE:16139-2018:TEXT:EN:HTML,Fundación Bahía Almeriport,Almería,04007,8,Other,S,71318000.0,150000.0,,ES611
15037,201816140,ted.europa.eu/udl?uri=TED:NOTICE:16140-2018:TEXT:EN:HTML,Hospital Universitario del Sureste,Arganda del Rey,28530,8,Health,S,50532000.0,85553664.0,,ES300
15038,201816141,ted.europa.eu/udl?uri=TED:NOTICE:16141-2018:TEXT:EN:HTML,Instituto Nacional de Estadística (INE),Madrid,28046,1,Economical anf Financial Affairs,S,72514000.0,840000.0,,ES300
15045,201816142,ted.europa.eu/udl?uri=TED:NOTICE:16142-2018:TEXT:EN:HTML,Ajuntament de Lleida,Lleida,25071,3,General public\services,S,71421000.0,11627550.61,,ES513
15047,201816144,ted.europa.eu/udl?uri=TED:NOTICE:16144-2018:TEXT:EN:HTML,"Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente - Secretaría de Estado de Medio Ambiente - Dirección General del Agua - Subdirección General de Programación Económica",Madrid,28071,1,Environment,S,71318000.0,177279.27,,ES
15048,201816145,ted.europa.eu/udl?uri=TED:NOTICE:16145-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia. Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72222000.0,1202580.0,,ES11
15156,201816757,ted.europa.eu/udl?uri=TED:NOTICE:16757-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Elche,Elche,03202,3,General public\services,S,85310000.0,12083333.34,,ES521
15158,201816759,ted.europa.eu/udl?uri=TED:NOTICE:16759-2018:TEXT:EN:HTML,"Consejo de Administración de la Empresa Mixta Local Unidad Alimentaria de Valladolid, S.A. (MERCAOLID)",Valladolid,47009,8,Economical anf Financial Affairs,S,79710000.0,688753.56,,ES418
15162,201816765,ted.europa.eu/udl?uri=TED:NOTICE:16765-2018:TEXT:EN:HTML,Autoridad Portuaria Bahía de Algeciras,Algeciras,,4,Port-related activities,W,45242200.0,577802472.0,,ES612
15257,201816877,ted.europa.eu/udl?uri=TED:NOTICE:16877-2018:TEXT:EN:HTML,Ferrocarrils de la Generalitat de Catalunya,Barcelona,08017,4,Railway services,S,50413200.0,1781632.56,,ES511
15279,201816892,ted.europa.eu/udl?uri=TED:NOTICE:16892-2018:TEXT:EN:HTML,ADIF-Alta Velocidad,Madrid,28020,4,Railway services,S,50532000.0,784006.76,,ES300
15288,201816993,ted.europa.eu/udl?uri=TED:NOTICE:16993-2018:TEXT:EN:HTML,Ayuntamiento de A Coruña,A Coruña,15001,R,General public\services,U,31527260.0,,,ES111
15289,201816994,ted.europa.eu/udl?uri=TED:NOTICE:16994-2018:TEXT:EN:HTML,"Ciudad Autónoma de Melilla, Consejeria de Hacienda. Negociado de Contratación",Melilla,52001,3,"Economical anf Financial Affairs,Education,Environment,General public\services,Health,Housing and community amenities,Public Order and Safety,Recreation, culture and religion,Social protection",U,31527200.0,647458.46,6.0,ES
15294,201816999,ted.europa.eu/udl?uri=TED:NOTICE:16999-2018:TEXT:EN:HTML,"Servicio Madrileno de Salud, Hospital Universitario La Paz",Madrid,28046,3,Health,U,33696500.0,1697933.57,24.0,
15296,201817001,ted.europa.eu/udl?uri=TED:NOTICE:17001-2018:TEXT:EN:HTML,"Servicio Madrileno de Salud, Hospital Universitario La Paz",Madrid,28046,3,Health,U,33140000.0,390803.3,24.0,
15301,201817006,ted.europa.eu/udl?uri=TED:NOTICE:17006-2018:TEXT:EN:HTML,Servicio Madrileño de Salud. Hospital Universitario La Paz,Madrid,28046,3,Health,U,33140000.0,396396.69,24.0,
15303,201817008,ted.europa.eu/udl?uri=TED:NOTICE:17008-2018:TEXT:EN:HTML,Ayuntamiento de Marbella,Marbella,29601,3,General public\services,U,30213300.0,247933.88,1.0,ES617
15304,201817009,ted.europa.eu/udl?uri=TED:NOTICE:17009-2018:TEXT:EN:HTML,Ayuntamiento de Pozuelo de Alarcón. Junta de Gobierno Local,Pozuelo de Alarcón,28223,3,Not specified,U,9123000.0,,12.0,ES
15306,201817011,ted.europa.eu/udl?uri=TED:NOTICE:17011-2018:TEXT:EN:HTML,Ayuntamiento de A Coruña,A Coruña,15001,R,General public\services,U,45232121.0,,,ES111
15312,201817103,ted.europa.eu/udl?uri=TED:NOTICE:17103-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,S,90911200.0,10322400.0,24.0,ES511
15313,201817104,ted.europa.eu/udl?uri=TED:NOTICE:17104-2018:TEXT:EN:HTML,Ayuntamiento de Vigo,Vigo,36202,3,General public\services,S,98341120.0,1136026.18,48.0,ES114
15317,201817108,ted.europa.eu/udl?uri=TED:NOTICE:17108-2018:TEXT:EN:HTML,Consorcio Agrupación 8 Teruel,Teruel,44001,3,General public\services,S,90511100.0,19101841.92,144.0,ES242
15318,201817109,ted.europa.eu/udl?uri=TED:NOTICE:17109-2018:TEXT:EN:HTML,"Instituto Catalán de la Salud, Hospital Universitari Germans Trias i Pujol",Badalona,08916,3,Health,S,50000000.0,,,
15320,201817111,ted.europa.eu/udl?uri=TED:NOTICE:17111-2018:TEXT:EN:HTML,Servicio Aragonés de Salud - Sector de Alcañiz,Alcañiz,44600,3,Health,S,85121220.0,2253600.0,36.0,
15323,201817114,ted.europa.eu/udl?uri=TED:NOTICE:17114-2018:TEXT:EN:HTML,Universidad de Almería,Almería,04120,8,Education,S,77311000.0,360000.0,36.0,ES611
15324,201817115,ted.europa.eu/udl?uri=TED:NOTICE:17115-2018:TEXT:EN:HTML,Ayuntamiento de Getxo,Getxo,48992,3,General public\services,S,79411100.0,495867.78,48.0,ES213
15325,201817116,ted.europa.eu/udl?uri=TED:NOTICE:17116-2018:TEXT:EN:HTML,Ayuntamiento de Onil,Onil,03430,3,General public\services,S,90910000.0,356487.66,36.0,ES
