,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
676096,2018505855,ted.europa.eu/udl?uri=TED:NOTICE:505855-2018:TEXT:EN:HTML,Agencia Pública Andaluza de Educación,Camas,41900,6,Education,S,71000000.0,1441258.6,,
676111,2018505864,ted.europa.eu/udl?uri=TED:NOTICE:505864-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Agricultura, Alimentación y Medio Ambiente",Madrid,28071,1,Environment,S,60442000.0,51211969.47,,
676180,2018505877,ted.europa.eu/udl?uri=TED:NOTICE:505877-2018:TEXT:EN:HTML,Gerencia de Atención Sanitaria del Instituto Nacional de Gestión Sanitaria en Ceuta,Ceuta,51003,1,Health,S,79511000.0,857916.4,,
676221,2018505883,ted.europa.eu/udl?uri=TED:NOTICE:505883-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Alcoy,Alcoy,03801,3,General public\services,S,50232000.0,1645170.24,,
676223,2018505885,ted.europa.eu/udl?uri=TED:NOTICE:505885-2018:TEXT:EN:HTML,Director de Abastecimiento y Transportes de la Jefatura de Apoyo Logístico de la Armada,Madrid,28036,1,Defence,S,72611000.0,406214.88,,
676235,2018505889,ted.europa.eu/udl?uri=TED:NOTICE:505889-2018:TEXT:EN:HTML,Junta de Gobierno de la Agencia Pública para la Gestión de la Casa Natal de Pablo Ruiz Picasso y otros equipamientos museísticos y culturales,Málaga,29012,3,Education,S,50000000.0,1755521.66,,
676237,2018505891,ted.europa.eu/udl?uri=TED:NOTICE:505891-2018:TEXT:EN:HTML,Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana,Valencia,46010,6,Environment,S,90481000.0,2563148.9,,
676245,2018505893,ted.europa.eu/udl?uri=TED:NOTICE:505893-2018:TEXT:EN:HTML,Junta de Gobierno Local de Ayuntamiento de Priego de Córdoba,Priego de Córdoba,14800,3,General public\services,S,90611000.0,1427420.92,,
676246,2018505894,ted.europa.eu/udl?uri=TED:NOTICE:505894-2018:TEXT:EN:HTML,Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana,Valencia,46010,6,Environment,S,90481000.0,3746971.91,,
676248,2018505896,ted.europa.eu/udl?uri=TED:NOTICE:505896-2018:TEXT:EN:HTML,Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana,Valencia,46010,6,Environment,S,90481000.0,4195783.26,,
676510,2018506043,ted.europa.eu/udl?uri=TED:NOTICE:506043-2018:TEXT:EN:HTML,Ayuntamiento de Irun,Irun (Gipuzkoa),20304,3,General public\services,S,50110000.0,555371.9,,
676512,2018506045,ted.europa.eu/udl?uri=TED:NOTICE:506045-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Villanueva de la Cañada,Villanueva de la Cañada,28691,3,General public\services,S,34922100.0,295067.42,,
676574,2018506077,ted.europa.eu/udl?uri=TED:NOTICE:506077-2018:TEXT:EN:HTML,EJIE — Sociedad Informática del Gobierno Vasco,Vitoria-Gasteiz,,8,Other,S,72200000.0,587400.0,,
676621,2018506106,ted.europa.eu/udl?uri=TED:NOTICE:506106-2018:TEXT:EN:HTML,Consell Comarcal del Baix Penedès,El Vendrell,43700,3,General public\services,S,90481000.0,6865728.06,,
676670,2018506134,ted.europa.eu/udl?uri=TED:NOTICE:506134-2018:TEXT:EN:HTML,Departamento de Justicia de la Generalitat de Cataluña,Barcelona,08010,1,Other,S,90921000.0,459705.6,11.97,
676719,2018506639,ted.europa.eu/udl?uri=TED:NOTICE:506639-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,S,55321000.0,32708550.05,,
676720,2018506641,ted.europa.eu/udl?uri=TED:NOTICE:506641-2018:TEXT:EN:HTML,Consejería de Hacienda y Administración Pública,Mérida,06800,3,Economical anf Financial Affairs,S,85100000.0,1681786.92,,
676852,2018506646,ted.europa.eu/udl?uri=TED:NOTICE:506646-2018:TEXT:EN:HTML,"Activa Mutua 2008, Mutua Colaboradora con la Seguridad Social n.º 3",Reus,43204,8,General public\services,S,85143000.0,400000.0,,
676855,2018506647,ted.europa.eu/udl?uri=TED:NOTICE:506647-2018:TEXT:EN:HTML,"Activa Mutua 2008, Mutua Colaboradora con la Seguridad Social n.º 3",Reus,43204,8,General public\services,S,85143000.0,400000.0,,
676967,2018506812,ted.europa.eu/udl?uri=TED:NOTICE:506812-2018:TEXT:EN:HTML,"Renfe Fabricación y Mantenimiento Sociedad Mercantil Estatal, S. A. — G. Área de Control de Gestión y Compras",Madrid,28034,4,Railway services,S,50222000.0,750000.0,,
676969,2018506814,ted.europa.eu/udl?uri=TED:NOTICE:506814-2018:TEXT:EN:HTML,Autoridad Portuaria de Las Palmas,Las Palmas de Gran Canaria,35008,4,Port-related activities,S,71520000.0,956200.0,,
676970,2018506815,ted.europa.eu/udl?uri=TED:NOTICE:506815-2018:TEXT:EN:HTML,"RENFE Viajeros, S. M.  E., S. A., Gerencia de Área de Control de Gestion y Compras",Madrid,28007,4,Railway services,S,60170000.0,939751.0,,
677001,2018506920,ted.europa.eu/udl?uri=TED:NOTICE:506920-2018:TEXT:EN:HTML,Ayuntamiento de Santander,Santander,39002,3,General public\services,U,34121100.0,2520000.0,6.45,
677007,2018506978,ted.europa.eu/udl?uri=TED:NOTICE:506978-2018:TEXT:EN:HTML,Ayuntamiento de Valladolid,Valladolid,47003,3,"General public\services,Housing and community amenities",S,71300000.0,600000.0,24.0,
677011,2018506982,ted.europa.eu/udl?uri=TED:NOTICE:506982-2018:TEXT:EN:HTML,Ente Público de Servicios Tributarios del Principado de Asturias,Oviedo,33005,6,Economical anf Financial Affairs,S,72200000.0,1426991.39,24.0,
677347,2018507427,ted.europa.eu/udl?uri=TED:NOTICE:507427-2018:TEXT:EN:HTML,Diputación Foral de Gipuzkoa — Departamento de Gobernanza y Comunicación con la Sociedad,Donostia-San Sebastián (Gipuzkoa),20004,3,General public\services,U,9134000.0,3736872.0,,
677360,2018507436,ted.europa.eu/udl?uri=TED:NOTICE:507436-2018:TEXT:EN:HTML,"Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, Balten",Santa Cruz de Tenerife,38009,6,General public\services,U,9310000.0,1466850.53,,
678315,2018507508,ted.europa.eu/udl?uri=TED:NOTICE:507508-2018:TEXT:EN:HTML,Gobierno de Zaragoza,Zaragoza,50071,3,General public\services,U,48800000.0,640000.0,,
678338,2018507520,ted.europa.eu/udl?uri=TED:NOTICE:507520-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Ronda,Ronda,29400,3,General public\services,U,43325000.0,247933.88,,
678340,2018507522,ted.europa.eu/udl?uri=TED:NOTICE:507522-2018:TEXT:EN:HTML,"Servicio Madrileño de salud, Hospital Universitario 12 de Octubre",Madrid,28041,6,Health,U,33184100.0,390157.9,,
678471,2018507535,ted.europa.eu/udl?uri=TED:NOTICE:507535-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,Madrid,28071,1,Defence,U,42410000.0,619834.71,,
678528,2018507546,ted.europa.eu/udl?uri=TED:NOTICE:507546-2018:TEXT:EN:HTML,Consellería del Mar de la Xunta de Galicia,Santiago de Compostela (A Coruña),15781,3,General public\services,U,34500000.0,1652892.56,,
678965,2018507585,ted.europa.eu/udl?uri=TED:NOTICE:507585-2018:TEXT:EN:HTML,Rectorado de la Universidad Politécnica de Madrid,Madrid,28040,3,Education,U,48218000.0,944000.0,,
678972,2018507589,ted.europa.eu/udl?uri=TED:NOTICE:507589-2018:TEXT:EN:HTML,"Servicio Madrileño de Salud, Hospital Universitario 12 de Octubre",Madrid,28041,6,Health,U,33696500.0,899200.0,,
678982,2018507597,ted.europa.eu/udl?uri=TED:NOTICE:507597-2018:TEXT:EN:HTML,Dirección General de la Entidad Pública Empresarial Red.es,Madrid,28020,1,General public\services,U,32400000.0,3497842.98,,
679239,2018508016,ted.europa.eu/udl?uri=TED:NOTICE:508016-2018:TEXT:EN:HTML,"Infraestructures de la Generalitat de Catalunya, S. A. U.",Barcelona,08017,R,General public\services,S,71311000.0,259560.0,,
679279,2018508034,ted.europa.eu/udl?uri=TED:NOTICE:508034-2018:TEXT:EN:HTML,Secretaría General del Fondo de Garantía Salarial (FOGASA),Madrid,28004,1,Social protection,S,50312000.0,647116.8,,
679600,2018508122,ted.europa.eu/udl?uri=TED:NOTICE:508122-2018:TEXT:EN:HTML,Gerencia de la Entidad Estatal de Derecho Público Trabajo Penitenciario y Formación para el Empleo,Madrid,28014,6,Public Order and Safety,S,60112000.0,485880.88,,
679617,2018508124,ted.europa.eu/udl?uri=TED:NOTICE:508124-2018:TEXT:EN:HTML,Mesa del Senado,Madrid,28071,8,General public\services,S,72416000.0,151200.0,,
679638,2018508131,ted.europa.eu/udl?uri=TED:NOTICE:508131-2018:TEXT:EN:HTML,Departamento de Salud del Gobierno Vasco,Vitoria-Gasteiz,01010,3,General public\services,S,85143000.0,42740712.0,,
679694,2018508158,ted.europa.eu/udl?uri=TED:NOTICE:508158-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08018,3,General public\services,S,90511100.0,3254020934.38,,
679865,2018508233,ted.europa.eu/udl?uri=TED:NOTICE:508233-2018:TEXT:EN:HTML,Pleno del Ayuntamiento de El Campello,El Campello,03560,3,General public\services,S,66510000.0,918000.0,,
679894,2018508246,ted.europa.eu/udl?uri=TED:NOTICE:508246-2018:TEXT:EN:HTML,"Sociedad Pública de Infraestructuras y Medio Ambiente de Castilla y León, S. A.",Valladolid,47008,8,General public\services,S,90513600.0,410467.2,,
679906,2018508750,ted.europa.eu/udl?uri=TED:NOTICE:508750-2018:TEXT:EN:HTML,Ajuntament de Barcelona,Barcelona,08009,3,General public\services,S,92510000.0,1667839.52,,
679915,2018508752,ted.europa.eu/udl?uri=TED:NOTICE:508752-2018:TEXT:EN:HTML,Junta de Contratación de los Servicios Centrales en el Ministerio de Hacienda y Función Pública,Madrid,28014,1,Economical anf Financial Affairs,S,80511000.0,504000.0,,
679916,2018508755,ted.europa.eu/udl?uri=TED:NOTICE:508755-2018:TEXT:EN:HTML,Presidencia del Institut Mallorquí d&apos; Afers Socials,Palma de Mallorca,07010,3,Social protection,S,80530000.0,1461600.0,,
679936,2018508756,ted.europa.eu/udl?uri=TED:NOTICE:508756-2018:TEXT:EN:HTML,"Dirección General de la Ciudad de las Artes y de las Ciencias, S. A.",Valencia,46013,8,General public\services,S,92000000.0,439622.0,,
680142,2018509106,ted.europa.eu/udl?uri=TED:NOTICE:509106-2018:TEXT:EN:HTML,Subdirección General de Adquisiciones de Armamento y Material DGAM,Madrid,28071,1,Defence,U,35730000.0,84949227.27,48.06,
680143,2018509124,ted.europa.eu/udl?uri=TED:NOTICE:509124-2018:TEXT:EN:HTML,Hospital Clínico San Carlos de Madrid,Madrid,28040,1,Health,S,50750000.0,1009448.68,24.0,
680149,2018509131,ted.europa.eu/udl?uri=TED:NOTICE:509131-2018:TEXT:EN:HTML,Hospital Universitario Ramón y Cajal,Madrid,28034,6,Health,S,55330000.0,2151218.75,48.0,
680155,2018509183,ted.europa.eu/udl?uri=TED:NOTICE:509183-2018:TEXT:EN:HTML,"Aena, S. M. E., S. A.",Madrid,28042,4,Airport-related activities,U,30200000.0,5274194.0,36.0,
680161,2018509199,ted.europa.eu/udl?uri=TED:NOTICE:509199-2018:TEXT:EN:HTML,"Aena, S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,79990000.0,,24.0,
680162,2018509200,ted.europa.eu/udl?uri=TED:NOTICE:509200-2018:TEXT:EN:HTML,"Aena, S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,79990000.0,,24.0,
680714,2018509632,ted.europa.eu/udl?uri=TED:NOTICE:509632-2018:TEXT:EN:HTML,Infraestructures Ferroviàries de Catalunya,Barcelona,08017,R,General public\services,U,31154000.0,10009445.52,,
680715,2018509633,ted.europa.eu/udl?uri=TED:NOTICE:509633-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,U,33100000.0,259597.73,,
680995,2018509681,ted.europa.eu/udl?uri=TED:NOTICE:509681-2018:TEXT:EN:HTML,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria,Madrid,28020,1,Economical anf Financial Affairs,U,22110000.0,606750.0,,
681013,2018509686,ted.europa.eu/udl?uri=TED:NOTICE:509686-2018:TEXT:EN:HTML,Consorcio Metropolitano de Transportes Bahía de Cádiz,Cádiz,11011,R,Other,U,79820000.0,40000.0,,
681024,2018509694,ted.europa.eu/udl?uri=TED:NOTICE:509694-2018:TEXT:EN:HTML,Gerencia de la Universidad de Castilla-La Mancha,Ciudad Real,13071,8,Education,U,24111000.0,1800000.0,,
681029,2018509697,ted.europa.eu/udl?uri=TED:NOTICE:509697-2018:TEXT:EN:HTML,"Secretaría General de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M. P.",Madrid,28006,1,General public\services,U,15710000.0,659692.56,,
681031,2018509698,ted.europa.eu/udl?uri=TED:NOTICE:509698-2018:TEXT:EN:HTML,"Organización Sanitaria Integrada Ezkerraldea Enkarterri Cruces, Osakidetza-Servicio Vasco de Salud",Barakaldo,48903,3,Health,U,33140000.0,352408.0,,
681035,2018509701,ted.europa.eu/udl?uri=TED:NOTICE:509701-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos de la Guardia Civil,Madrid,28003,1,Public Order and Safety,U,35331500.0,1742400.0,29.97,
681038,2018509703,ted.europa.eu/udl?uri=TED:NOTICE:509703-2018:TEXT:EN:HTML,Fundación de Gestión Sanitaria del Hospital de la Santa Creu i Sant Pau,Barcelona,08025,8,Health,U,33141210.0,480924.0,,
681040,2018509704,ted.europa.eu/udl?uri=TED:NOTICE:509704-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de la Línea de la Concepción,La Línea de la Concepción,11300,3,General public\services,U,30000000.0,257806.6,,
681075,2018509715,ted.europa.eu/udl?uri=TED:NOTICE:509715-2018:TEXT:EN:HTML,Hospital Universitario del Henares,Coslada,,6,Health,U,33141000.0,264250.0,,
681076,2018509716,ted.europa.eu/udl?uri=TED:NOTICE:509716-2018:TEXT:EN:HTML,"Forestal Catalana, S. A.",Barcelona,08012,8,Environment,U,34111000.0,1600000.0,,
681461,2018510324,ted.europa.eu/udl?uri=TED:NOTICE:510324-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Elche,Elche,03202,3,General public\services,S,66510000.0,269500.0,,
681471,2018510330,ted.europa.eu/udl?uri=TED:NOTICE:510330-2018:TEXT:EN:HTML,Dirección Provincial de Educación en Salamanca,Valladolid,47019,3,General public\services,S,90911000.0,174200.0,29.74,
681472,2018510331,ted.europa.eu/udl?uri=TED:NOTICE:510331-2018:TEXT:EN:HTML,Subdelegación del Gobierno en Cádiz,Cádiz,11071,1,General public\services,S,90919200.0,97377.02,,
681473,2018510332,ted.europa.eu/udl?uri=TED:NOTICE:510332-2018:TEXT:EN:HTML,Dirección General del Servicio Valenciano de Empleo y Formación,Valencia,46004,3,Social protection,S,50711000.0,604847.1,,
681486,2018510339,ted.europa.eu/udl?uri=TED:NOTICE:510339-2018:TEXT:EN:HTML,"Activa Mutua 2008, Mutua Colaboradora con la Seguridad Social número 3",Reus,43204,8,General public\services,S,63516000.0,636363.65,,
681502,2018510346,ted.europa.eu/udl?uri=TED:NOTICE:510346-2018:TEXT:EN:HTML,Gerencia de Servicios Sociales de la Junta de Castilla y León,Valladolid,47006,3,General public\services,S,71900000.0,490945.05,,
681522,2018510353,ted.europa.eu/udl?uri=TED:NOTICE:510353-2018:TEXT:EN:HTML,Dirección General de la Entidad Pública Empresarial Red.es,Madrid,28020,1,General public\services,S,72224000.0,644628.1,,
681523,2018510354,ted.europa.eu/udl?uri=TED:NOTICE:510354-2018:TEXT:EN:HTML,"Consejero Delegado de Ingeniería de Sistemas para la Defensa de España S. A., S. M. E. y M.  P.",Madrid,28040,8,Defence,S,79410000.0,232650.0,,
681601,2018510399,ted.europa.eu/udl?uri=TED:NOTICE:510399-2018:TEXT:EN:HTML,"Jefatura de la Sección Económico-Administrativa 15, Agrupación del Cuartel General del Ejército del Aire",Madrid,28071,1,Defence,S,33157000.0,140000.0,,
681603,2018510401,ted.europa.eu/udl?uri=TED:NOTICE:510401-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Servicios Centrales",Sevilla,41071,3,Health,S,71200000.0,977566.12,,
681605,2018510403,ted.europa.eu/udl?uri=TED:NOTICE:510403-2018:TEXT:EN:HTML,Gerencia de la Universidad de Castilla-La Mancha,Ciudad Real,13071,8,Education,S,73111000.0,300000.0,,
681606,2018510404,ted.europa.eu/udl?uri=TED:NOTICE:510404-2018:TEXT:EN:HTML,Servicio Catalán de la Salud,Barcelona,08028,R,Health,S,90911200.0,1049858.4,,
681608,2018510406,ted.europa.eu/udl?uri=TED:NOTICE:510406-2018:TEXT:EN:HTML,Gerencia del Museo Nacional Centro de Arte Reina Sofía,Madrid,28012,1,Education,S,90910000.0,5502787.52,,
681610,2018510408,ted.europa.eu/udl?uri=TED:NOTICE:510408-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Zaragoza,Zaragoza,50071,3,General public\services,S,98380000.0,481520.16,,
681611,2018510409,ted.europa.eu/udl?uri=TED:NOTICE:510409-2018:TEXT:EN:HTML,"Dirección Gerencia de Mutualia, Mutua Colaboradora con la Seguridad Social n.º 2",Bilbao,48009,8,General public\services,S,66511000.0,300000.0,,
681612,2018510410,ted.europa.eu/udl?uri=TED:NOTICE:510410-2018:TEXT:EN:HTML,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Leioa,48940,6,Education,S,50413200.0,345452.8,,
681614,2018510412,ted.europa.eu/udl?uri=TED:NOTICE:510412-2018:TEXT:EN:HTML,Rectorado de la Universidad Pablo de Olavide,Sevilla,41013,6,Education,S,90910000.0,7085279.66,,
681615,2018510413,ted.europa.eu/udl?uri=TED:NOTICE:510413-2018:TEXT:EN:HTML,"Empresa Municipal de la Vivienda y Suelo de Madrid, S. A.",Madrid,28012,8,Housing and community amenities,S,71200000.0,1680889.16,,
681621,2018510416,ted.europa.eu/udl?uri=TED:NOTICE:510416-2018:TEXT:EN:HTML,Ayuntamiento de Camargo,Muriedas (Camargo),39600,3,General public\services,S,85000000.0,2336520.0,,
681622,2018510417,ted.europa.eu/udl?uri=TED:NOTICE:510417-2018:TEXT:EN:HTML,"Consejería de Urbanismo y Sostenibilidad del Ayuntamiento de Zaragoza, Servicio de Contratación",Zaragoza,50071,3,General public\services,S,79000000.0,413223.15,,
681624,2018510419,ted.europa.eu/udl?uri=TED:NOTICE:510419-2018:TEXT:EN:HTML,"Departamento de Vertebración del Territorio, Movilidad y Vivienda",Zaragoza,50071,3,Housing and community amenities,S,71311210.0,723140.5,,
681699,2018510446,ted.europa.eu/udl?uri=TED:NOTICE:510446-2018:TEXT:EN:HTML,"Gerencia Umivale, Mutua Colaboradora con la Seguridad Social n.º 15",Madrid,28046,8,Health,S,79342320.0,815000.0,,
681700,2018510447,ted.europa.eu/udl?uri=TED:NOTICE:510447-2018:TEXT:EN:HTML,Rectorado de la Universidad de Sevilla,Sevilla,41004,6,Education,S,45331000.0,619834.71,,
681701,2018510448,ted.europa.eu/udl?uri=TED:NOTICE:510448-2018:TEXT:EN:HTML,Presidencia de la Confederación Hidrográfica del Guadiana,Badajoz,06011,1,Environment,S,71356300.0,1792283.9,,
681702,2018510449,ted.europa.eu/udl?uri=TED:NOTICE:510449-2018:TEXT:EN:HTML,"Administrador Único de Televisión Autonómica de Castilla-La Mancha, S. A.",Toledo,45007,8,Economical anf Financial Affairs,S,71351610.0,360000.0,,
681704,2018510451,ted.europa.eu/udl?uri=TED:NOTICE:510451-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Granada,Granada,18071,3,General public\services,S,66516000.0,204000.0,,
681706,2018510452,ted.europa.eu/udl?uri=TED:NOTICE:510452-2018:TEXT:EN:HTML,Universidad de Cantabria,Santander,39005,8,Education,S,50413200.0,396694.21,,
681707,2018510453,ted.europa.eu/udl?uri=TED:NOTICE:510453-2018:TEXT:EN:HTML,Agencia Pública Andaluza de Educación,Camas,41900,6,Education,S,71000000.0,834482.31,,
681712,2018510454,ted.europa.eu/udl?uri=TED:NOTICE:510454-2018:TEXT:EN:HTML,Ayuntamiento de l&apos;Arboç,L&apos;Arboç,43720,3,General public\services,S,90911200.0,374357.04,,
681713,2018510455,ted.europa.eu/udl?uri=TED:NOTICE:510455-2018:TEXT:EN:HTML,Área de Gobierno de Medio Ambiente y Movilidad,Madrid,28014,3,Environment,S,90511000.0,4043636.35,,
681714,2018510456,ted.europa.eu/udl?uri=TED:NOTICE:510456-2018:TEXT:EN:HTML,"Metro Bilbao, S. A.",Bilbao (Bizkaia),48001,8,Other,S,48218000.0,720000.0,,
681715,2018510457,ted.europa.eu/udl?uri=TED:NOTICE:510457-2018:TEXT:EN:HTML,Junta de Gobierno Local del Ayuntamiento de Sanlúcar de Barrameda,Sanlúcar de Barrameda,11540,3,General public\services,S,90513000.0,371397.0,,
681716,2018510458,ted.europa.eu/udl?uri=TED:NOTICE:510458-2018:TEXT:EN:HTML,"Junta de Andalucía, Consejería de Salud, Agencia Pública Empresarial Sanitaria Hospital Alto Guadalquivir",Andújar (Jaén),23740,R,Health,S,98311100.0,2974230.0,24.01,
681717,2018510459,ted.europa.eu/udl?uri=TED:NOTICE:510459-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de San Miguel de Abona,San Miguel de Abona,38620,3,General public\services,S,90420000.0,735680.0,,
681719,2018510461,ted.europa.eu/udl?uri=TED:NOTICE:510461-2018:TEXT:EN:HTML,Ajuntament de Cassà de la Selva,Cassà de la Selva,,8,General public\services,S,90910000.0,738082.71,,
681846,2018510535,ted.europa.eu/udl?uri=TED:NOTICE:510535-2018:TEXT:EN:HTML,Ayuntamiento de Arrigorriaga,Arrigorriaga,48480,3,General public\services,S,90910000.0,504000.0,,
682132,2018511192,ted.europa.eu/udl?uri=TED:NOTICE:511192-2018:TEXT:EN:HTML,Consejo de Gobierno del Instituto Municipal de Deportes del Ayuntamiento de Sevilla,Sevilla,41015,3,General public\services,S,79714000.0,4802790.18,,
682133,2018511193,ted.europa.eu/udl?uri=TED:NOTICE:511193-2018:TEXT:EN:HTML,Junta de Contratación del Ministerio de Asuntos Exteriores y Cooperación,Madrid,28071,1,General public\services,S,79713000.0,2320000.0,,
682134,2018511195,ted.europa.eu/udl?uri=TED:NOTICE:511195-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Málaga,Málaga,29016,3,General public\services,S,92521000.0,15412787.72,,
682140,2018511198,ted.europa.eu/udl?uri=TED:NOTICE:511198-2018:TEXT:EN:HTML,Presidencia de la Fundación Deportiva Municipal de Valencia,Valencia,46008,6,General public\services,S,79710000.0,908092.56,,
682203,2018511291,ted.europa.eu/udl?uri=TED:NOTICE:511291-2018:TEXT:EN:HTML,Autoridad Portuaria de Las Palmas,Las Palmas de Gran Canaria,35008,4,Port-related activities,U,18000000.0,577940.15,,
682411,2018511514,ted.europa.eu/udl?uri=TED:NOTICE:511514-2018:TEXT:EN:HTML,"Diputación Provincial de Ávila, Consorcio Provincial Zona Norte",Ávila,05001,3,General public\services,W,45200000.0,6188561.41,48.0,
682417,2018511536,ted.europa.eu/udl?uri=TED:NOTICE:511536-2018:TEXT:EN:HTML,Ayuntamiento de Algeciras,Algeciras,11201,3,General public\services,U,32000000.0,400000.0,60.0,
682420,2018511539,ted.europa.eu/udl?uri=TED:NOTICE:511539-2018:TEXT:EN:HTML,Fundación Siglo para el Turismo y las Artes de Castilla y León,Valladolid,47015,8,"Recreation, culture and religion",U,9310000.0,541637.52,12.0,
682423,2018511542,ted.europa.eu/udl?uri=TED:NOTICE:511542-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Motril,Motril,18600,3,Public Order and Safety,U,34114200.0,379107.84,48.0,
682424,2018511543,ted.europa.eu/udl?uri=TED:NOTICE:511543-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Cartagena,Cartagena,30201,3,General public\services,U,9300000.0,309917.36,24.0,
682425,2018511544,ted.europa.eu/udl?uri=TED:NOTICE:511544-2018:TEXT:EN:HTML,"Transports Municipals del Gironès, S. A. U.",Girona,17004,8,Other,U,50113000.0,397990.0,12.0,
682426,2018511545,ted.europa.eu/udl?uri=TED:NOTICE:511545-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S. A.",Barcelona,08015,8,"General public\services,Other",U,15000000.0,630000.0,24.0,
682440,2018511625,ted.europa.eu/udl?uri=TED:NOTICE:511625-2018:TEXT:EN:HTML,Fundación Hospital Calahorra,Calahorra,26500,8,Health,S,90911200.0,2496406.08,24.0,
682445,2018511630,ted.europa.eu/udl?uri=TED:NOTICE:511630-2018:TEXT:EN:HTML,"UPCnet, Serveis d'Accés a Internet de la Universitat Politècnica de Catalunya, S. L. U.",Barcelona,08034,8,Other,S,72212517.0,3200000.0,12.0,
682450,2018511635,ted.europa.eu/udl?uri=TED:NOTICE:511635-2018:TEXT:EN:HTML,Institut Metropolità del Taxi,Barcelona,08040,3,General public\services,S,71631200.0,450000.0,12.0,
682451,2018511636,ted.europa.eu/udl?uri=TED:NOTICE:511636-2018:TEXT:EN:HTML,Ayuntamiento de Caldes de Montbui,Caldes de Montbui,08140,3,General public\services,S,85311100.0,,,
682452,2018511637,ted.europa.eu/udl?uri=TED:NOTICE:511637-2018:TEXT:EN:HTML,"Ciudad de las Artes y de las Ciencias, S. A.",Valencia,46013,8,"Recreation, culture and religion",S,72261000.0,279000.0,48.0,
682453,2018511638,ted.europa.eu/udl?uri=TED:NOTICE:511638-2018:TEXT:EN:HTML,"Corporació Catalana de Mitjans Audiovisuals, S. A.",Barcelona,08017,6,Other,S,92200000.0,1000000.0,24.0,
682455,2018511640,ted.europa.eu/udl?uri=TED:NOTICE:511640-2018:TEXT:EN:HTML,"Barcelona Activa, S. A. U., S. P. M.",Barcelona,08018,8,Other,S,80533000.0,1176074.8,12.0,
683049,2018512182,ted.europa.eu/udl?uri=TED:NOTICE:512182-2018:TEXT:EN:HTML,Consorci Sanitari del Garraf,Sant Pere de Ribes,08810,3,Health,U,33140000.0,335916.0,,
683094,2018512190,ted.europa.eu/udl?uri=TED:NOTICE:512190-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Langreo,Langreo,33900,3,General public\services,U,18100000.0,531768.6,,
683108,2018512195,ted.europa.eu/udl?uri=TED:NOTICE:512195-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Rute,Rute,14960,3,General public\services,U,44100000.0,312336.07,,
683235,2018512218,ted.europa.eu/udl?uri=TED:NOTICE:512218-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Mieres,Mieres,33600,3,General public\services,U,9130000.0,986886.35,,
683832,2018512230,ted.europa.eu/udl?uri=TED:NOTICE:512230-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Palma de Mallorca,Palma de Mallorca,07001,3,General public\services,U,34114200.0,213456.71,,
684367,2018512798,ted.europa.eu/udl?uri=TED:NOTICE:512798-2018:TEXT:EN:HTML,Consorci de la Costa Brava — Entitat Local de l&apos;Aigua (CCB-ELA),Girona,17004,R,Other,S,50000000.0,338400.0,,
