,Unnamed: 0,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
10193,634378,2018465577,ted.europa.eu/udl?uri=TED:NOTICE:465577-2018:TEXT:EN:HTML,"Secretaría General de la Consejería de Economía, Empresas y Empleo de la Junta de Comunidades de Castilla-La Mancha",Toledo,45071,3,General public\services,S,72221000.0,297120.0,,ES425
10194,634388,2018465586,ted.europa.eu/udl?uri=TED:NOTICE:465586-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de La Pobla de Vallbona,La Pobla de Vallbona,46185,3,General public\services,S,60172000.0,652080.4,,ES523
10195,634393,2018465591,ted.europa.eu/udl?uri=TED:NOTICE:465591-2018:TEXT:EN:HTML,"Consejería de Economía, Hacienda y Administración Pública — Junta de Andalucía",Sevilla,41071,3,Economical anf Financial Affairs,S,72500000.0,833781.66,,ES618
10196,634394,2018465592,ted.europa.eu/udl?uri=TED:NOTICE:465592-2018:TEXT:EN:HTML,Dirección General de la Entidad Pública Empresarial Red.es,Madrid,28020,1,General public\services,S,72000000.0,3255432.0,,ES300
10199,634626,2018465713,ted.europa.eu/udl?uri=TED:NOTICE:465713-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona — Dirección de Servicios de Gestión Económica de la Gerencia de Recursos,Barcelona,08002,R,General public\services,S,79512000.0,29147330.52,,ES511
10200,634642,2018466368,ted.europa.eu/udl?uri=TED:NOTICE:466368-2018:TEXT:EN:HTML,Gerencia de Servicios Sociales de la Junta de Castilla y León,Valladolid,47006,3,General public\services,S,85320000.0,663070.2,,ES418
10201,634652,2018466378,ted.europa.eu/udl?uri=TED:NOTICE:466378-2018:TEXT:EN:HTML,Entidad Pública del Banco de Sangre y Tejidos de Aragón,Zaragoza,50017,6,Health,S,85146000.0,3154300.0,,ES243
10202,634653,2018466380,ted.europa.eu/udl?uri=TED:NOTICE:466380-2018:TEXT:EN:HTML,Delegación Especial de la Agencia Estatal de la Administración Tributaria en Cantabria,Santander,39002,1,Economical anf Financial Affairs,S,79710000.0,364126.87,,ES130
10203,634674,2018466393,ted.europa.eu/udl?uri=TED:NOTICE:466393-2018:TEXT:EN:HTML,"Dirección General de Ibermutuamur, Mutua Colaboradora con la Seguridad Social número 274",Madrid,28043,8,General public\services,S,85100000.0,898543.16,,ES300
10204,634678,2018466398,ted.europa.eu/udl?uri=TED:NOTICE:466398-2018:TEXT:EN:HTML,"Área de Gobierno de Equidad, Derechos Sociales y Empleo",Madrid,28045,3,Social protection,S,79952000.0,995676.0,,ES300
10205,634679,2018466402,ted.europa.eu/udl?uri=TED:NOTICE:466402-2018:TEXT:EN:HTML,"Área de Gobierno de Equidad, Derechos Sociales y Empleo",Madrid,28045,3,Social protection,S,79710000.0,1570635.72,,ES300
10206,634682,2018466407,ted.europa.eu/udl?uri=TED:NOTICE:466407-2018:TEXT:EN:HTML,"Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, número 1",Barcelona,08029,8,Health,S,79710000.0,984415.92,,ES511
10207,634683,2018466408,ted.europa.eu/udl?uri=TED:NOTICE:466408-2018:TEXT:EN:HTML,"Dirección General de Ibermutuamur, Mutua Colaboradora con la Seguridad Social número 274",Madrid,28043,8,General public\services,S,85111000.0,892602.9,,ES300
10208,634686,2018466411,ted.europa.eu/udl?uri=TED:NOTICE:466411-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Talavera de la Reina,Talavera de la Reina (Toledo),45600,3,General public\services,S,85311000.0,1776654.35,,ES425
10209,634752,2018466487,ted.europa.eu/udl?uri=TED:NOTICE:466487-2018:TEXT:EN:HTML,"Aigües de Barcelona, Empresa Metropolitana de Gestió del Cicle Integral de l&apos;Aigua, S. A.",Barcelona,08028,4,Water,U,9310000.0,18400714.0,,ES511
10210,634972,2018466501,ted.europa.eu/udl?uri=TED:NOTICE:466501-2018:TEXT:EN:HTML,Ferrocarrils de la Generalitat de Catalunya,Barcelona,08017,4,Railway services,U,34990000.0,290728.87,,ES511
10216,635156,2018466784,ted.europa.eu/udl?uri=TED:NOTICE:466784-2018:TEXT:EN:HTML,Hospital Clínico Universitario «Lozano Blesa»,Zaragoza,50009,3,Health,U,33696000.0,2008264.46,24.0,ES243
10217,635157,2018466785,ted.europa.eu/udl?uri=TED:NOTICE:466785-2018:TEXT:EN:HTML,"Aguas Sierra de Cadiz, S. A. U.",Villamartín,11650,3,Other,U,31154000.0,553028.44,12.0,ES612
10218,635158,2018466786,ted.europa.eu/udl?uri=TED:NOTICE:466786-2018:TEXT:EN:HTML,OSI Bilbao-Basurto — Osakidetza,Bilbao,48013,6,Health,U,33000000.0,638104.6,24.0,ES213
10219,635161,2018466789,ted.europa.eu/udl?uri=TED:NOTICE:466789-2018:TEXT:EN:HTML,"Empresa Corporación Municipal de Jerez, S. A. (C.O.M.U.J.E.S.A.)",Jerez de la Frontera,11402,3,General public\services,U,31200000.0,2012000.0,24.0,ES612
10220,635164,2018466792,ted.europa.eu/udl?uri=TED:NOTICE:466792-2018:TEXT:EN:HTML,Ayuntamiento de Santander,Santander,39002,3,General public\services,U,9123000.0,1947184.0,24.0,ES130
10222,635172,2018466877,ted.europa.eu/udl?uri=TED:NOTICE:466877-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Motril,Motril,18600,3,"General public\services,Other",S,66510000.0,479480.0,24.0,ES614
10223,635173,2018466878,ted.europa.eu/udl?uri=TED:NOTICE:466878-2018:TEXT:EN:HTML,Consorcio Regional de Transportes de Madrid,Madrid,28003,3,General public\services,S,72514100.0,5577630.55,24.0,ES300
10224,635177,2018466882,ted.europa.eu/udl?uri=TED:NOTICE:466882-2018:TEXT:EN:HTML,"UPCnet, Serveis d'Accés a Internet de la Universitat Politècnica de Catalunya, S. L. U.",Barcelona,08034,8,Other,S,72514300.0,176000.0,24.0,ES511
10226,635179,2018466884,ted.europa.eu/udl?uri=TED:NOTICE:466884-2018:TEXT:EN:HTML,Ayuntamiento de Sant Feliu de Llobregat,Sant Feliu de Llobregat (Barcelona),08980,3,General public\services,S,32400000.0,283200.0,,ES511
10227,635180,2018466885,ted.europa.eu/udl?uri=TED:NOTICE:466885-2018:TEXT:EN:HTML,"Barcelona Activa, S. A. U., S. P. M.",Barcelona,08018,8,Other,S,79421000.0,475206.6,12.0,ES511
10228,635181,2018466886,ted.europa.eu/udl?uri=TED:NOTICE:466886-2018:TEXT:EN:HTML,Agencia Andaluza de Instituciones Culturales,Sevilla,41092,6,"Recreation, culture and religion",S,80500000.0,248590.0,11.74,ES618
